benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3170003705,280767239,1711104188052
par-mnemonics,2512135304,3694776318,1711104188052
par-mnemonics,2186500672,6399578596,1711104188052
par-mnemonics,1856417194,8738884744,1711104188052
par-mnemonics,1771052529,10738388556,1711104188052
par-mnemonics,1707829666,12656207691,1711104188052
par-mnemonics,1661156010,14505507507,1711104188052
par-mnemonics,1668177143,16305757414,1711104188052
par-mnemonics,1887394317,18112157651,1711104188052
par-mnemonics,1694085031,20128041931,1711104188052
par-mnemonics,1642120899,21957279788,1711104188052
par-mnemonics,1678023171,23738979146,1711104188052
par-mnemonics,1837255515,25552213470,1711104188052
par-mnemonics,1862692735,27525918957,1711104188052
par-mnemonics,1709936338,29555743094,1711104188052
par-mnemonics,1649541413,31396251198,1711104188052
