benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3277167211,277277924,1711104255104
par-mnemonics,2515474299,3774737313,1711104255104
par-mnemonics,2033584602,6455696001,1711104255104
par-mnemonics,1788791184,8682360412,1711104255104
par-mnemonics,1729360103,10642621698,1711104255104
par-mnemonics,1911525147,12524958260,1711104255104
par-mnemonics,1639150421,14565841511,1711104255104
par-mnemonics,1646788917,16355651973,1711104255104
par-mnemonics,1646238101,18134668110,1711104255104
par-mnemonics,1958270380,19923270180,1711104255104
par-mnemonics,1951954516,22017488752,1711104255104
par-mnemonics,1640404226,24098631515,1711104255104
par-mnemonics,1704831273,25866308714,1711104255104
par-mnemonics,1614883642,27697945479,1711104255104
par-mnemonics,1616828311,29440450262,1711104255104
par-mnemonics,1632913012,31187259118,1711104255104
