benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3208831037,277020891,1711104389913
par-mnemonics,2317518400,3709378643,1711104389913
par-mnemonics,2074524029,6221872897,1711104389913
par-mnemonics,1925939626,8478728389,1711104389913
par-mnemonics,1876978036,10560451183,1711104389913
par-mnemonics,1754822788,12582038115,1711104389913
par-mnemonics,1779987901,14507346300,1711104389913
par-mnemonics,1695849366,16415705065,1711104389913
par-mnemonics,1958841086,18243881419,1711104389913
par-mnemonics,1871039770,20348299513,1711104389913
par-mnemonics,1680337343,22360413754,1711104389913
par-mnemonics,1793821195,24184421148,1711104389913
par-mnemonics,1763493839,26107563980,1711104389913
par-mnemonics,1704751459,28001507061,1711104389913
par-mnemonics,1649494143,29846040306,1711104389913
par-mnemonics,1671012005,31628793915,1711104389913
