benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3092714294,305107070,1711104423410
par-mnemonics,2614698206,3582099592,1711104423410
par-mnemonics,2220169293,6365244875,1711104423410
par-mnemonics,1969336525,8740561902,1711104423410
par-mnemonics,1796838590,10863609190,1711104423410
par-mnemonics,1882783089,12814704407,1711104423410
par-mnemonics,1772633909,15053240818,1711104423410
par-mnemonics,1597791156,16951099552,1711104423410
par-mnemonics,1656051750,18692945210,1711104423410
par-mnemonics,1835303019,20477861739,1711104423410
par-mnemonics,1604984751,22436734972,1711104423410
par-mnemonics,1896224026,24210434624,1711104423410
par-mnemonics,1588946445,26231467986,1711104423410
par-mnemonics,1604327105,27997094021,1711104423410
par-mnemonics,1765711060,29725131902,1711104423410
par-mnemonics,1628198077,31614834997,1711104423410
