benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3251325629,277524853,1711104456843
par-mnemonics,2635063847,3751445041,1711104456843
par-mnemonics,2333633492,6577146234,1711104456843
par-mnemonics,1942327098,9054254757,1711104456843
par-mnemonics,1803669276,11141415997,1711104456843
par-mnemonics,1698066535,13092001486,1711104456843
par-mnemonics,1684501547,14941213215,1711104456843
par-mnemonics,1666131096,16752381787,1711104456843
par-mnemonics,1623735992,18559317896,1711104456843
par-mnemonics,1662523771,20376283724,1711104456843
par-mnemonics,1656137357,22176955759,1711104456843
par-mnemonics,1627426916,23973019738,1711104456843
par-mnemonics,1631876747,25737884986,1711104456843
par-mnemonics,1951894233,27509345534,1711104456843
par-mnemonics,1827014522,29599550913,1711104456843
par-mnemonics,1657933044,31567120319,1711104456843
