benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3167973450,276731230,1711104523909
par-mnemonics,2467125086,3648350359,1711104523909
par-mnemonics,2130890208,6304438560,1711104523909
par-mnemonics,2027558148,8616707849,1711104523909
par-mnemonics,1744891381,10784762406,1711104523909
par-mnemonics,1600738079,12668727398,1711104523909
par-mnemonics,1718107622,14396862928,1711104523909
par-mnemonics,1917253970,16256527794,1711104523909
par-mnemonics,1752636255,18300304322,1711104523909
par-mnemonics,1630148192,20179470101,1711104523909
par-mnemonics,1618822937,21948431547,1711104523909
par-mnemonics,1962322076,23707754365,1711104523909
par-mnemonics,1658014490,25802624776,1711104523909
par-mnemonics,1639770581,27586326287,1711104523909
par-mnemonics,1617557032,29359243525,1711104523909
par-mnemonics,1939317872,31112222869,1711104523909
