benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3174308967,302533746,1711104595949
par-mnemonics,2709213729,3693321331,1711104595949
par-mnemonics,2048596751,6634409223,1711104595949
par-mnemonics,1937473101,8842540102,1711104595949
par-mnemonics,2036104002,10929093832,1711104595949
par-mnemonics,1634805243,13108947177,1711104595949
par-mnemonics,1539522930,14877431974,1711104595949
par-mnemonics,1845053141,16572109651,1711104595949
par-mnemonics,1753239010,18582408069,1711104595949
par-mnemonics,1575661686,20487779475,1711104595949
par-mnemonics,1561007886,22216613063,1711104595949
par-mnemonics,1585440796,23933596682,1711104595949
par-mnemonics,1558210689,25671865251,1711104595949
par-mnemonics,1824283393,27382898451,1711104595949
par-mnemonics,1584377885,29361640399,1711104595949
par-mnemonics,1595128741,31098719050,1711104595949
