benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2281144197,320706403,1711105328854
philosophers,1469576000,2616127682,1711105328854
philosophers,1318197134,4092259517,1711105328854
philosophers,1551427832,5416725036,1711105328854
philosophers,1482728547,6974177895,1711105328854
philosophers,1374475402,8512207303,1711105328854
philosophers,1338605142,9898385876,1711105328854
philosophers,1404138090,11243600996,1711105328854
philosophers,1644244418,12658320426,1711105328854
philosophers,1409620063,14307912788,1711105328854
philosophers,1361134528,15725088925,1711105328854
philosophers,1419642422,17091176794,1711105328854
philosophers,1259957537,18515765046,1711105328854
philosophers,1614532011,19782235660,1711105328854
philosophers,1345237482,21403771241,1711105328854
philosophers,1361700382,22754007207,1711105328854
philosophers,1360423009,24120647579,1711105328854
philosophers,1374415660,25486792742,1711105328854
philosophers,1406763744,26866727930,1711105328854
philosophers,1313376939,28278805984,1711105328854
philosophers,1601513926,29599036680,1711105328854
philosophers,1476550781,31205687819,1711105328854
philosophers,1374556042,32687865408,1711105328854
philosophers,1489565358,34067828251,1711105328854
philosophers,1458474016,35562266215,1711105328854
philosophers,1727019512,37025959387,1711105328854
philosophers,1518843262,38758092218,1711105328854
philosophers,1444359297,40282062793,1711105328854
philosophers,1423251606,41731325675,1711105328854
philosophers,1411016265,43159618357,1711105328854
