benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2277986615,313855449,1711105286576
philosophers,1427583920,2609125056,1711105286576
philosophers,1506443465,4045368088,1711105286576
philosophers,1385207936,5563548312,1711105286576
philosophers,1290807167,6962250789,1711105286576
philosophers,1312840774,8265262410,1711105286576
philosophers,1386945701,9588092165,1711105286576
philosophers,1364935227,10981699790,1711105286576
philosophers,1360909639,12357751172,1711105286576
philosophers,1454567119,13723807790,1711105286576
philosophers,1355730700,15187380839,1711105286576
philosophers,1322145593,16548229010,1711105286576
philosophers,1389484343,17875153786,1711105286576
philosophers,1323945161,19269804656,1711105286576
philosophers,1432541697,20598681725,1711105286576
philosophers,1355402882,22036282164,1711105286576
philosophers,1367812000,23397147609,1711105286576
philosophers,1451847681,24771356703,1711105286576
philosophers,1226555003,26228218655,1711105286576
philosophers,1359582436,27460134857,1711105286576
philosophers,1323518214,28825280854,1711105286576
philosophers,1384130170,30153990759,1711105286576
philosophers,1289569176,31543495452,1711105286576
philosophers,1389111574,32838435421,1711105286576
philosophers,1294538490,34232998193,1711105286576
philosophers,1386601008,35532944516,1711105286576
philosophers,1268996974,36924785236,1711105286576
philosophers,1310319456,38199082504,1711105286576
philosophers,1354519965,39514373281,1711105286576
philosophers,1351606729,40874242913,1711105286576
