benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2262671119,394242069,1711105416638
philosophers,1440153360,2671496835,1711105416638
philosophers,1404296078,4117844870,1711105416638
philosophers,1362923292,5527904742,1711105416638
philosophers,1463006671,6914726470,1711105416638
philosophers,1375987815,8389498560,1711105416638
philosophers,1326202129,9777302644,1711105416638
philosophers,1463379185,11110627503,1711105416638
philosophers,1372292374,12585005475,1711105416638
philosophers,1440801208,13962558199,1711105416638
philosophers,1427735260,15410666398,1711105416638
philosophers,1322483152,16843337668,1711105416638
philosophers,1336138351,18170672699,1711105416638
philosophers,1484741993,19511850051,1711105416638
philosophers,1288020954,21003236876,1711105416638
philosophers,1403503750,22296142535,1711105416638
philosophers,1343877714,23704599625,1711105416638
philosophers,1292887547,25053869954,1711105416638
philosophers,1469053109,26352429924,1711105416638
philosophers,1309284121,27829278652,1711105416638
philosophers,1339366128,29143983299,1711105416638
philosophers,1260597421,30488913759,1711105416638
philosophers,1403996548,31754997026,1711105416638
philosophers,1679961550,33164401254,1711105416638
philosophers,1326152686,34849332256,1711105416638
philosophers,1416850297,36180701092,1711105416638
philosophers,1278008539,37602992087,1711105416638
philosophers,1487685263,38886333771,1711105416638
philosophers,1406002936,40379440474,1711105416638
philosophers,1416340986,41790935222,1711105416638
