benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2345861010,334258346,1711105743240
philosophers,1518019872,2693817721,1711105743240
philosophers,1432541081,4218011008,1711105743240
philosophers,1433383457,5656897079,1711105743240
philosophers,1440311703,7128083899,1711105743240
philosophers,1614405485,8580986160,1711105743240
philosophers,1468580338,10207700921,1711105743240
philosophers,1482927591,11684938032,1711105743240
philosophers,1447671395,13180605831,1711105743240
philosophers,1408695926,14633790202,1711105743240
philosophers,1426399960,16049394504,1711105743240
philosophers,1419731748,17480900997,1711105743240
philosophers,1488224817,18905718855,1711105743240
philosophers,1504121096,20398965749,1711105743240
philosophers,1482824757,21908229240,1711105743240
philosophers,1450925284,23395950168,1711105743240
philosophers,1357075911,24851857837,1711105743240
philosophers,1419040832,26213937752,1711105743240
philosophers,1469351842,27638118135,1711105743240
philosophers,1410277846,29112639297,1711105743240
philosophers,1488279635,30528030967,1711105743240
philosophers,1488263246,32021552724,1711105743240
philosophers,1374240205,33514907786,1711105743240
philosophers,1388129411,34896611876,1711105743240
philosophers,1342237402,36289814978,1711105743240
philosophers,1401950857,37637072928,1711105743240
philosophers,1436414784,39044542999,1711105743240
philosophers,1531841985,40486486961,1711105743240
philosophers,1536594798,42023711068,1711105743240
philosophers,1329059611,43565621888,1711105743240
