benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2304487345,323937792,1711106072709
philosophers,1457988482,2644679851,1711106072709
philosophers,1302187328,4108843848,1711106072709
philosophers,1403143799,5416918888,1711106072709
philosophers,1369112548,6826060166,1711106072709
philosophers,1382580759,8212565523,1711106072709
philosophers,1446363420,9606801126,1711106072709
philosophers,1431504467,11062074168,1711106072709
philosophers,1418299778,12504482360,1711106072709
philosophers,1365983968,13927822346,1711106072709
philosophers,1390460345,15300801788,1711106072709
philosophers,1339579951,16696343984,1711106072709
philosophers,1347212308,18041127772,1711106072709
philosophers,1358197973,19393345104,1711106072709
philosophers,1277604480,20756528167,1711106072709
philosophers,1404340651,22039499308,1711106072709
philosophers,1307553093,23448878590,1711106072709
philosophers,1298681514,24761630526,1711106072709
philosophers,1305218382,26065378218,1711106072709
philosophers,1405033209,27375566239,1711106072709
philosophers,1306840568,28785671556,1711106072709
philosophers,1355852311,30097465870,1711106072709
philosophers,1389476500,31458537087,1711106072709
philosophers,1339833305,32853046559,1711106072709
philosophers,1312046815,34197948933,1711106072709
philosophers,1293544039,35514914213,1711106072709
philosophers,1342239722,36814137808,1711106072709
philosophers,1275232305,38161845547,1711106072709
philosophers,1374665268,39442451144,1711106072709
philosophers,1275258476,40822590121,1711106072709
