benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2629620321,325720462,1711105109486
philosophers,1437037797,2969213268,1711105109486
philosophers,1421391764,4412284523,1711105109486
philosophers,1405748902,5840552078,1711105109486
philosophers,1510642262,7252161010,1711105109486
philosophers,1751518426,8781979512,1711105109486
philosophers,1468635177,10566315582,1711105109486
philosophers,1437911622,12042653790,1711105109486
philosophers,1458780103,13493093977,1711105109486
philosophers,1615090479,14957252462,1711105109486
philosophers,1421919361,16579305541,1711105109486
philosophers,1355905766,18006375565,1711105109486
philosophers,1436324940,19367448155,1711105109486
philosophers,1539123357,20808792327,1711105109486
philosophers,1502398852,22353363473,1711105109486
philosophers,1403248571,23861208047,1711105109486
philosophers,1469872007,25269786929,1711105109486
philosophers,1456424299,26744913203,1711105109486
philosophers,1419656598,28206580757,1711105109486
philosophers,1376077599,29631147941,1711105109486
philosophers,1384460156,31012706502,1711105109486
philosophers,1391121669,32402905763,1711105109486
philosophers,1486523501,33801247111,1711105109486
philosophers,1259815179,35293022966,1711105109486
philosophers,1470464261,36558223939,1711105109486
philosophers,1353513449,38034310750,1711105109486
philosophers,1387876289,39392975083,1711105109486
philosophers,1386556870,40786493512,1711105109486
philosophers,1372828245,42178027983,1711105109486
philosophers,1536594356,43555801337,1711105109486
