benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2211109725,323695036,1711106203327
philosophers,1454791450,2548667960,1711106203327
philosophers,1352284394,4009863608,1711106203327
philosophers,1453861490,5367883234,1711106203327
philosophers,1727240460,6827601631,1711106203327
philosophers,1460076790,8566250018,1711106203327
philosophers,1321992039,10037861622,1711106203327
philosophers,1413604723,11367829240,1711106203327
philosophers,1312494905,12792047774,1711106203327
philosophers,1344384288,14109655220,1711106203327
philosophers,1429152003,15460962606,1711106203327
philosophers,1256531505,16895240026,1711106203327
philosophers,1294493581,18158176359,1711106203327
philosophers,1338255139,19458995486,1711106203327
philosophers,1268900672,20804445702,1711106203327
philosophers,1294781008,22078806383,1711106203327
philosophers,1386522164,23378701434,1711106203327
philosophers,1451479616,24770431839,1711106203327
philosophers,1325708278,26227067185,1711106203327
philosophers,1336444261,27557881943,1711106203327
philosophers,1520992625,28899317074,1711106203327
philosophers,1257475296,30425597097,1711106203327
philosophers,1307430347,31688139296,1711106203327
philosophers,1323157440,33000567130,1711106203327
philosophers,1175797741,34328747626,1711106203327
philosophers,1520872441,35509626366,1711106203327
philosophers,1291388448,37035557423,1711106203327
philosophers,1258909066,38332270963,1711106203327
philosophers,1271645372,39596124420,1711106203327
philosophers,1322252639,40872725605,1711106203327
