benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2262644862,385415993,1711106245575
philosophers,1450730303,2662264184,1711106245575
philosophers,1389181550,4120052371,1711106245575
philosophers,1531652066,5514879029,1711106245575
philosophers,1513786485,7052392038,1711106245575
philosophers,1457989512,8581759420,1711106245575
philosophers,1531079864,10051594569,1711106245575
philosophers,1387276728,11589665970,1711106245575
philosophers,1388110890,12987498344,1711106245575
philosophers,1309843837,14381089024,1711106245575
philosophers,1375112388,15697723418,1711106245575
philosophers,1341514294,17077757044,1711106245575
philosophers,1453372041,18424291069,1711106245575
philosophers,1516470985,19882741936,1711106245575
philosophers,1273638120,21404414482,1711106245575
philosophers,1347581751,22683146179,1711106245575
philosophers,1392586334,24035806699,1711106245575
philosophers,1312228798,25433415683,1711106245575
philosophers,1323605880,26750661999,1711106245575
philosophers,1287404415,28079366170,1711106245575
philosophers,1388364640,29371700865,1711106245575
philosophers,1357832079,30765249601,1711106245575
philosophers,1322863800,32128731159,1711106245575
philosophers,1275621191,33456875814,1711106245575
philosophers,1326259380,34737765388,1711106245575
philosophers,1449379170,36069327419,1711106245575
philosophers,1486880049,37524064386,1711106245575
philosophers,1292920983,39016097725,1711106245575
philosophers,1307207710,40314096806,1711106245575
philosophers,1359979317,41626391236,1711106245575
