benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2276325832,340657817,1711106288615
philosophers,1583579413,2631325370,1711106288615
philosophers,1382293724,4222104948,1711106288615
philosophers,1360067552,5610197430,1711106288615
philosophers,1462793474,6981552050,1711106288615
philosophers,1308970655,8460452935,1711106288615
philosophers,1423461918,9782751428,1711106288615
philosophers,1734452786,11214680627,1711106288615
philosophers,1302467744,12960067303,1711106288615
philosophers,1427747376,14267822104,1711106288615
philosophers,1455413518,15703274681,1711106288615
philosophers,1323064100,17166580439,1711106288615
philosophers,1337709538,18495086753,1711106288615
philosophers,1295961988,19837936440,1711106288615
philosophers,1320857370,21139090985,1711106288615
philosophers,1407866805,22465060853,1711106288615
philosophers,1388585488,23878356261,1711106288615
philosophers,1485293567,25272040458,1711106288615
philosophers,1449219157,26762334698,1711106288615
philosophers,1317215519,28216597816,1711106288615
philosophers,1274345505,29538748736,1711106288615
philosophers,1304873091,30818151956,1711106288615
philosophers,1433603722,32128629909,1711106288615
philosophers,1409508177,33567301638,1711106288615
philosophers,1359145340,34981811407,1711106288615
philosophers,1275509636,36346069995,1711106288615
philosophers,1424129430,37626962179,1711106288615
philosophers,1385375144,39056236205,1711106288615
philosophers,1369887524,40446796584,1711106288615
philosophers,1303577298,41821795665,1711106288615
