benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2369682697,380679363,1711106460344
philosophers,1504208053,2766959554,1711106460344
philosophers,1436582101,4277857895,1711106460344
philosophers,1468421741,5721000682,1711106460344
philosophers,1487035293,7195885877,1711106460344
philosophers,2041029787,8698408831,1711106460344
philosophers,1541670499,10754187959,1711106460344
philosophers,1441325787,12304076948,1711106460344
philosophers,1375450328,13756267680,1711106460344
philosophers,1388705140,15136748612,1711106460344
philosophers,1419323791,16533142306,1711106460344
philosophers,1486232490,17957470267,1711106460344
philosophers,1423518487,19448744604,1711106460344
philosophers,1456773742,20877689155,1711106460344
philosophers,1373073973,22339862689,1711106460344
philosophers,1389381087,23717831141,1711106460344
philosophers,1406416451,25112368877,1711106460344
philosophers,1712673099,26523808323,1711106460344
philosophers,1350849660,28241926803,1711106460344
philosophers,1456191152,29597831139,1711106460344
philosophers,1373478363,31059538158,1711106460344
philosophers,1375466258,32437973844,1711106460344
philosophers,1372962909,33818414630,1711106460344
philosophers,1469716038,35196392026,1711106460344
philosophers,1379802473,36671346327,1711106460344
philosophers,1423514649,38056371676,1711106460344
philosophers,1357316983,39484952100,1711106460344
philosophers,1390794056,40847513467,1711106460344
philosophers,1404605653,42243425432,1711106460344
philosophers,1311097621,43652953930,1711106460344
