benchmark,duration_ns,uptime_ns,vm_start_unix_ms
philosophers,2160244623,324095631,1711106600337
philosophers,1458476340,2498311998,1711106600337
philosophers,1484018259,3963978072,1711106600337
philosophers,1441455661,5453832688,1711106600337
philosophers,1557425493,6905815053,1711106600337
philosophers,1313648228,8576349828,1711106600337
philosophers,1466136425,9904222810,1711106600337
philosophers,1388596229,11378157699,1711106600337
philosophers,1372928330,12779222760,1711106600337
philosophers,1304604761,14157549610,1711106600337
philosophers,1357478682,15468733156,1711106600337
philosophers,1356170740,16831098768,1711106600337
philosophers,1307553499,18193211488,1711106600337
philosophers,1601636770,19505822814,1711106600337
philosophers,1591299044,21112649181,1711106600337
philosophers,1327847330,22708799224,1711106600337
philosophers,1325712038,24041891883,1711106600337
philosophers,1351781545,25372994113,1711106600337
philosophers,1306901669,26730281429,1711106600337
philosophers,1340285009,28042310123,1711106600337
philosophers,1599148877,29388094601,1711106600337
philosophers,1488091294,30992421165,1711106600337
philosophers,1472138411,32485719859,1711106600337
philosophers,1405176828,33962784084,1711106600337
philosophers,1373434262,35373034129,1711106600337
philosophers,1388907639,36752005440,1711106600337
philosophers,1327782825,38145919655,1711106600337
philosophers,1375517707,39478837755,1711106600337
philosophers,1421567884,40859411908,1711106600337
philosophers,1518591530,42285833726,1711106600337
