benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,9848970062,374247010,1710958170012
reactors,6895717965,10239018024,1710958170012
reactors,5960967250,17157387378,1710958170012
reactors,5765975174,23130869240,1710958170012
reactors,6184907672,28910827845,1710958170012
reactors,5820572095,35111650353,1710958170012
reactors,5445154517,40958736170,1710958170012
reactors,5855681216,46425597964,1710958170012
reactors,5407811820,52294875123,1710958170012
reactors,5797990536,57731326751,1710958170012
