benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8595625214,363876334,1710958731085
reactors,6658610420,8980116712,1710958731085
reactors,5919114212,16423148084,1710958731085
reactors,6136302209,22423614844,1710958731085
reactors,6740474835,28825229399,1710958731085
reactors,6541454921,35715683089,1710958731085
reactors,5795669348,42265466776,1710958731085
reactors,6320938688,48069512796,1710958731085
reactors,6504950676,54398544993,1710958731085
reactors,5428714292,60911724330,1710958731085
