benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8674098210,365170343,1710959403779
reactors,6315624723,9061174816,1710959403779
reactors,5817088671,15396596086,1710959403779
reactors,5899003071,21230274227,1710959403779
reactors,5635157488,27144225593,1710959403779
reactors,5611106831,32810528778,1710959403779
reactors,5754666063,38439438484,1710959403779
reactors,5562431787,44206762158,1710959403779
reactors,5474656123,49782578662,1710959403779
reactors,5552485990,55273092485,1710959403779
