benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8967913526,370772436,1710958041758
reactors,6433139800,9360872716,1710958041758
reactors,6129872070,15809968462,1710958041758
reactors,5892515403,21952957987,1710958041758
reactors,6273240510,27855852820,1710958041758
reactors,6539879070,34140590409,1710958041758
reactors,5690232777,40688817017,1710958041758
reactors,6051680374,46393641739,1710958041758
reactors,5711898501,52454048666,1710958041758
reactors,5924154139,58176421216,1710958041758
