benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8803198403,364678930,1710959526567
reactors,6898271589,9214259040,1710959526567
reactors,6220444094,16128632194,1710959526567
reactors,5819725525,22359304147,1710959526567
reactors,5812005934,28189465067,1710959526567
reactors,5919356157,34018275515,1710959526567
reactors,6097227638,39954920493,1710959526567
reactors,6367657912,46059846395,1710959526567
reactors,7200843585,52439312661,1710959526567
reactors,5949152961,59647857601,1710959526567
