benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,9145485844,374085914,1710959719757
reactors,6682952822,9584161689,1710959719757
reactors,5856103698,16291586088,1710959719757
reactors,5752392818,22163864352,1710959719757
reactors,5370105903,27929387791,1710959719757
reactors,5877210508,33324011075,1710959719757
reactors,5588454065,39213393987,1710959719757
reactors,5263020177,44813737413,1710959719757
reactors,5655904383,50100226352,1710959719757
reactors,5898739241,55769410624,1710959719757
