benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8886001634,389911795,1710959655191
reactors,6576365324,9315913685,1710959655191
reactors,6086040796,15907407514,1710959655191
reactors,5770341279,22006720717,1710959655191
reactors,5578395410,27789132688,1710959655191
reactors,6631857213,33375871418,1710959655191
reactors,6487195431,40015883955,1710959655191
reactors,6401283516,46510501690,1710959655191
reactors,5772189695,52922964161,1710959655191
reactors,5792549336,58704038243,1710959655191
