benchmark,duration_ns,uptime_ns,vm_start_unix_ms
reactors,8339006721,367581090,1710959969674
reactors,6653772024,8795507848,1710959969674
reactors,6445094033,15471096515,1710959969674
reactors,6035680620,22013210843,1710959969674
reactors,6123119054,28155635818,1710959969674
reactors,5857341248,34287079613,1710959969674
reactors,6399780404,40156403524,1710959969674
reactors,6042658611,46567869078,1710959969674
reactors,6010477734,52621708111,1710959969674
reactors,5789310887,58641264317,1710959969674
