benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3305946565,323542717,1710949547952
scala-doku,2515230593,3643996372,1710949547952
scala-doku,2809953149,6172198227,1710949547952
scala-doku,3177480316,8994140242,1710949547952
scala-doku,2995661866,12177743147,1710949547952
scala-doku,2945560921,15180594011,1710949547952
scala-doku,2881103272,18132122660,1710949547952
scala-doku,2849864748,21018789865,1710949547952
scala-doku,2822239860,23875398174,1710949547952
scala-doku,2834715394,26704575802,1710949547952
scala-doku,2833163730,29545317692,1710949547952
scala-doku,2855004231,32384850932,1710949547952
scala-doku,2858775059,35245678234,1710949547952
scala-doku,2849509609,38110661653,1710949547952
scala-doku,2873925188,40966342494,1710949547952
scala-doku,2896776722,43846283394,1710949547952
scala-doku,2896980625,46749001357,1710949547952
scala-doku,2887932781,49651948484,1710949547952
scala-doku,2888535970,52545429613,1710949547952
scala-doku,2842549999,55440204478,1710949547952
