benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3339925810,313678652,1710949706402
scala-doku,2955250855,3668032339,1710949706402
scala-doku,2552536647,6638243748,1710949706402
scala-doku,2542775767,9202823906,1710949706402
scala-doku,2500866706,11753960929,1710949706402
scala-doku,2546882744,14261054971,1710949706402
scala-doku,2420626131,16813424449,1710949706402
scala-doku,2778333727,19240878139,1710949706402
scala-doku,2771621445,22025642049,1710949706402
scala-doku,2763691435,24803080352,1710949706402
scala-doku,2824292158,27572857932,1710949706402
scala-doku,2797098907,30403785748,1710949706402
scala-doku,2821371356,33207451212,1710949706402
scala-doku,2824487375,36034619959,1710949706402
scala-doku,2853232092,38864982032,1710949706402
scala-doku,2809384021,41724253457,1710949706402
scala-doku,2794407857,44539352147,1710949706402
scala-doku,2734742241,47339836745,1710949706402
scala-doku,2790721341,50081029551,1710949706402
scala-doku,2732629856,52877919952,1710949706402
