benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3084727870,324159985,1710949656729
scala-doku,2221618081,3424247197,1710949656729
scala-doku,2316004319,5658795003,1710949656729
scala-doku,2382867935,7986511541,1710949656729
scala-doku,2319263144,10380997647,1710949656729
scala-doku,2387796639,12708735911,1710949656729
scala-doku,2401278123,15102515064,1710949656729
scala-doku,2467660863,17558409286,1710949656729
scala-doku,2493080037,20031802411,1710949656729
scala-doku,2440493359,22531159742,1710949656729
scala-doku,2500143415,24977771779,1710949656729
scala-doku,2417042963,27483827741,1710949656729
scala-doku,2427001702,29907184802,1710949656729
scala-doku,2428790505,32339951198,1710949656729
scala-doku,2486538986,34774654488,1710949656729
scala-doku,2483595580,37267020087,1710949656729
scala-doku,2479205946,39756189882,1710949656729
scala-doku,2476561788,42240865692,1710949656729
scala-doku,2465766478,44724586769,1710949656729
scala-doku,2416897259,47197524647,1710949656729
