benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3111337423,319686141,1710949915406
scala-doku,2203277994,3445831042,1710949915406
scala-doku,2486927265,5660663033,1710949915406
scala-doku,2560966765,8159479629,1710949915406
scala-doku,2536091224,10730984692,1710949915406
scala-doku,2560047870,13275405876,1710949915406
scala-doku,2428369720,15841651679,1710949915406
scala-doku,2437779821,18276998769,1710949915406
scala-doku,2445682937,20720630618,1710949915406
scala-doku,2672790785,23172381383,1710949915406
scala-doku,2610990318,25851501016,1710949915406
scala-doku,2668438770,28468952752,1710949915406
scala-doku,2670273291,31143741103,1710949915406
scala-doku,2680120786,33820095546,1710949915406
scala-doku,2631461401,36506474874,1710949915406
scala-doku,2651097066,39144886741,1710949915406
scala-doku,2653103787,41802241339,1710949915406
scala-doku,2612470991,44461408365,1710949915406
scala-doku,2615687673,47079555594,1710949915406
scala-doku,2656071784,49700898863,1710949915406
