benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3065797715,319617269,1710950184806
scala-doku,2227221219,3401371100,1710950184806
scala-doku,2500249972,5635310859,1710950184806
scala-doku,2545331527,8149211235,1710950184806
scala-doku,2519839940,10706921591,1710950184806
scala-doku,2567123162,13235007633,1710950184806
scala-doku,2616132929,15807720160,1710950184806
scala-doku,2604349230,18430730998,1710950184806
scala-doku,2613103774,21041018221,1710950184806
scala-doku,2558840295,23660233151,1710950184806
scala-doku,2547314276,26225539422,1710950184806
scala-doku,2545642160,28779202183,1710950184806
scala-doku,2548080858,31330779833,1710950184806
scala-doku,2546505271,33884772838,1710950184806
scala-doku,2555467113,36437137589,1710950184806
scala-doku,2529012282,38998887525,1710950184806
scala-doku,2517800917,41534039420,1710950184806
scala-doku,2527870396,44058080028,1710950184806
scala-doku,2534999852,46592725669,1710950184806
scala-doku,2529755249,49134064540,1710950184806
