benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3001040615,319683403,1710950021467
scala-doku,2337961512,3334934672,1710950021467
scala-doku,2435959064,5683173201,1710950021467
scala-doku,2654126318,8131465523,1710950021467
scala-doku,2614999500,10846845587,1710950021467
scala-doku,2635938183,13468544840,1710950021467
scala-doku,2587914105,16110211330,1710950021467
scala-doku,2565354270,18703573873,1710950021467
scala-doku,2578867368,21274991055,1710950021467
scala-doku,2571082684,23859509522,1710950021467
scala-doku,2527736651,26436455508,1710950021467
scala-doku,2506387718,28970421140,1710950021467
scala-doku,2574275251,31482922457,1710950021467
scala-doku,2558347351,34064380145,1710950021467
scala-doku,2521447156,36628996117,1710950021467
scala-doku,2487915853,39156909217,1710950021467
scala-doku,2497521545,41650778745,1710950021467
scala-doku,2540778836,44154820387,1710950021467
scala-doku,2552129527,46701619971,1710950021467
scala-doku,2541831715,49260246203,1710950021467
