benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3105954867,315319071,1710950346305
scala-doku,2304692572,3435932769,1710950346305
scala-doku,2320290897,5750839206,1710950346305
scala-doku,2416115647,8137441060,1710950346305
scala-doku,2407322784,10561917020,1710950346305
scala-doku,2418663264,12976775893,1710950346305
scala-doku,2357516134,15401112554,1710950346305
scala-doku,2516340595,17764335898,1710950346305
scala-doku,2495708096,20286712914,1710950346305
scala-doku,2450050375,22788205497,1710950346305
scala-doku,2446009922,25243966709,1710950346305
scala-doku,2442197751,27696095581,1710950346305
scala-doku,2435357572,30144183038,1710950346305
scala-doku,2419628107,32585482505,1710950346305
scala-doku,2447728150,35010967561,1710950346305
scala-doku,2435269084,37464851299,1710950346305
scala-doku,2446707816,39906019231,1710950346305
scala-doku,2484958814,42358426101,1710950346305
scala-doku,2438549061,44849977426,1710950346305
scala-doku,2478099842,47294759657,1710950346305
