benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3170433191,327216326,1710950609175
scala-doku,2175380860,3513124284,1710950609175
scala-doku,2228490696,5701732803,1710950609175
scala-doku,2433204189,7936652526,1710950609175
scala-doku,2452042076,10382174425,1710950609175
scala-doku,2405534379,12841791537,1710950609175
scala-doku,2366984547,15253163730,1710950609175
scala-doku,2468018732,17625830911,1710950609175
scala-doku,2457498755,20099469950,1710950609175
scala-doku,2474429961,22563064483,1710950609175
scala-doku,2472558925,25043510395,1710950609175
scala-doku,2472009620,27522089553,1710950609175
scala-doku,2473488523,30000699903,1710950609175
scala-doku,2458830957,32481866138,1710950609175
scala-doku,2451132220,34947857500,1710950609175
scala-doku,2463809775,37404957328,1710950609175
scala-doku,2488468466,39875389319,1710950609175
scala-doku,2475437327,42370610531,1710950609175
scala-doku,2510023523,44852292678,1710950609175
scala-doku,2485157556,47369130161,1710950609175
