benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,2977482174,314271123,1710950808857
scala-doku,2177981994,3306077239,1710950808857
scala-doku,2412427905,5496561884,1710950808857
scala-doku,2616059786,7921256694,1710950808857
scala-doku,2616193255,10543283399,1710950808857
scala-doku,2546652614,13165798022,1710950808857
scala-doku,2384957104,15718294865,1710950808857
scala-doku,2591766165,18110150581,1710950808857
scala-doku,2532386772,20708781150,1710950808857
scala-doku,2537748809,23247006160,1710950808857
scala-doku,2538928380,25790665971,1710950808857
scala-doku,2555566938,28335438453,1710950808857
scala-doku,2547331746,30896504051,1710950808857
scala-doku,2546741786,33450122852,1710950808857
scala-doku,2557287517,36002811704,1710950808857
scala-doku,2553976298,38566028700,1710950808857
scala-doku,2538955736,41125910217,1710950808857
scala-doku,2543607936,43671029145,1710950808857
scala-doku,2528323344,46220420807,1710950808857
scala-doku,2534075560,48754554399,1710950808857
