benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,2963613962,319012036,1710950710117
scala-doku,2267543612,3299780611,1710950710117
scala-doku,2359854643,5579339024,1710950710117
scala-doku,2359706587,7945012636,1710950710117
scala-doku,2325341256,10310537827,1710950710117
scala-doku,2397438898,12641575076,1710950710117
scala-doku,2200565445,15044649610,1710950710117
scala-doku,2374570719,17252125169,1710950710117
scala-doku,2342452458,19632753235,1710950710117
scala-doku,2334120525,21980877526,1710950710117
scala-doku,2346096806,24320675381,1710950710117
scala-doku,2368153352,26672538094,1710950710117
scala-doku,2349925725,29047034116,1710950710117
scala-doku,2366734120,31403234851,1710950710117
scala-doku,2341194272,33775718555,1710950710117
scala-doku,2315460984,36123432120,1710950710117
scala-doku,2328845655,38445221695,1710950710117
scala-doku,2323138980,40780650044,1710950710117
scala-doku,2315198577,43111177130,1710950710117
scala-doku,2302307780,45433918541,1710950710117
