benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3519432572,317102330,1710950917494
scala-doku,2942436973,3851614543,1710950917494
scala-doku,2400670166,6807142610,1710950917494
scala-doku,2376261131,9216353985,1710950917494
scala-doku,2382374069,11659037955,1710950917494
scala-doku,2373499544,14050918713,1710950917494
scala-doku,2299251542,16434783700,1710950917494
scala-doku,2470503818,18739792006,1710950917494
scala-doku,2453438104,21216382638,1710950917494
scala-doku,2516612593,23675380961,1710950917494
scala-doku,2499445508,26198009063,1710950917494
scala-doku,2493966110,28703354515,1710950917494
scala-doku,2505692717,31203176114,1710950917494
scala-doku,2438404984,33717631749,1710950917494
scala-doku,2476483147,36162322100,1710950917494
scala-doku,2480412169,38645990701,1710950917494
scala-doku,2471988742,41132369560,1710950917494
scala-doku,2481867368,43610759450,1710950917494
scala-doku,2479047541,46098803023,1710950917494
scala-doku,2472247343,48584114990,1710950917494
