benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-doku,3596594760,344524925,1710951119338
scala-doku,3113359142,3955711713,1710951119338
scala-doku,2521410585,7079037175,1710951119338
scala-doku,2429201070,9611030456,1710951119338
scala-doku,2396908029,12101164811,1710951119338
scala-doku,2456136313,14504670748,1710951119338
scala-doku,2447692550,16966754192,1710951119338
scala-doku,2537867135,19420067408,1710951119338
scala-doku,2543765325,21964432002,1710951119338
scala-doku,2476231339,24514032197,1710951119338
scala-doku,2526919797,26996771441,1710951119338
scala-doku,2522342815,29530348811,1710951119338
scala-doku,2533061990,32058459827,1710951119338
scala-doku,2533946870,34597478804,1710951119338
scala-doku,2512783067,37137367879,1710951119338
scala-doku,2479785453,39656037997,1710951119338
scala-doku,2478693417,42141973857,1710951119338
scala-doku,2462644412,44626360797,1710951119338
scala-doku,2470291782,47095612421,1710951119338
scala-doku,2458008371,49573518667,1710951119338
