benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,448998692,485989909,1711104725208
scala-kmeans,406015869,981548558,1711104725208
scala-kmeans,366484243,1406225851,1711104725208
scala-kmeans,316161530,1792375161,1711104725208
scala-kmeans,264762075,2153298371,1711104725208
scala-kmeans,265171835,2472272069,1711104725208
scala-kmeans,247470834,2780185488,1711104725208
scala-kmeans,246873052,3045843998,1711104725208
scala-kmeans,247879614,3310412016,1711104725208
scala-kmeans,293164525,3578237916,1711104725208
scala-kmeans,293918804,3890973309,1711104725208
scala-kmeans,282242405,4204372844,1711104725208
scala-kmeans,242558246,4504254364,1711104725208
scala-kmeans,242162105,4764385080,1711104725208
scala-kmeans,249161329,5024229992,1711104725208
scala-kmeans,275909954,5292297481,1711104725208
scala-kmeans,285885268,5587690591,1711104725208
scala-kmeans,284473998,5893101569,1711104725208
scala-kmeans,239998989,6195616245,1711104725208
scala-kmeans,239133681,6453392063,1711104725208
scala-kmeans,246764416,6710443607,1711104725208
scala-kmeans,242852911,6975059373,1711104725208
scala-kmeans,283968528,7237657023,1711104725208
scala-kmeans,266402041,7541280679,1711104725208
scala-kmeans,239204344,7825459349,1711104725208
scala-kmeans,238779256,8082704429,1711104725208
scala-kmeans,280063803,8339041638,1711104725208
scala-kmeans,253371125,8638189041,1711104725208
scala-kmeans,239821566,8909153317,1711104725208
scala-kmeans,238447752,9166815735,1711104725208
scala-kmeans,238837185,9422897397,1711104725208
scala-kmeans,238046123,9679614850,1711104725208
scala-kmeans,238424895,9935565051,1711104725208
scala-kmeans,236524528,10191633212,1711104725208
scala-kmeans,238835999,10445808214,1711104725208
scala-kmeans,237818198,10702413120,1711104725208
scala-kmeans,237768935,10957879390,1711104725208
scala-kmeans,237844842,11213267199,1711104725208
scala-kmeans,238409098,11468631688,1711104725208
scala-kmeans,269990289,11724870772,1711104725208
scala-kmeans,267550914,12014318143,1711104725208
scala-kmeans,274250460,12352414002,1711104725208
scala-kmeans,234481830,12645688761,1711104725208
scala-kmeans,232915010,12897597388,1711104725208
scala-kmeans,235282801,13148173870,1711104725208
scala-kmeans,252954340,13401440369,1711104725208
scala-kmeans,232713104,13671988414,1711104725208
scala-kmeans,233470929,13922481022,1711104725208
scala-kmeans,232042480,14173805250,1711104725208
scala-kmeans,234659312,14423461960,1711104725208
