benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,486494531,479317015,1711104782354
scala-kmeans,360096741,1023092885,1711104782354
scala-kmeans,266328613,1401969590,1711104782354
scala-kmeans,223124954,1686609701,1711104782354
scala-kmeans,245519897,1951184633,1711104782354
scala-kmeans,264978800,2240684023,1711104782354
scala-kmeans,265374887,2549367777,1711104782354
scala-kmeans,266487128,2834381289,1711104782354
scala-kmeans,221858443,3118765399,1711104782354
scala-kmeans,222784712,3358508418,1711104782354
scala-kmeans,221561490,3599139193,1711104782354
scala-kmeans,219826567,3838446645,1711104782354
scala-kmeans,219588677,4075963872,1711104782354
scala-kmeans,219984789,4313104551,1711104782354
scala-kmeans,221178286,4550806140,1711104782354
scala-kmeans,261621606,4790247576,1711104782354
scala-kmeans,262995039,5071280982,1711104782354
scala-kmeans,269845151,5353696096,1711104782354
scala-kmeans,272610197,5666443090,1711104782354
scala-kmeans,260802569,5959277870,1711104782354
scala-kmeans,259425204,6239431086,1711104782354
scala-kmeans,259518125,6518171210,1711104782354
scala-kmeans,258620769,6796906084,1711104782354
scala-kmeans,258000735,7074715314,1711104782354
scala-kmeans,258232601,7352192744,1711104782354
scala-kmeans,256748509,7628480797,1711104782354
scala-kmeans,257081842,7904587684,1711104782354
scala-kmeans,215167675,8179588563,1711104782354
scala-kmeans,216374251,8412536239,1711104782354
scala-kmeans,212949967,8646586063,1711104782354
scala-kmeans,213684419,8877461857,1711104782354
scala-kmeans,214999033,9109018533,1711104782354
scala-kmeans,216541461,9341986202,1711104782354
scala-kmeans,213488261,9576019513,1711104782354
scala-kmeans,214781803,9807328080,1711104782354
scala-kmeans,215139862,10039771073,1711104782354
scala-kmeans,257751264,10274134741,1711104782354
scala-kmeans,257528832,10551324091,1711104782354
scala-kmeans,261072023,10828091537,1711104782354
scala-kmeans,236114793,11135843103,1711104782354
scala-kmeans,232493134,11390064670,1711104782354
scala-kmeans,268095976,11642202611,1711104782354
scala-kmeans,250557581,11929174951,1711104782354
scala-kmeans,249283515,12199081605,1711104782354
scala-kmeans,252731083,12466065739,1711104782354
scala-kmeans,255017861,12738052365,1711104782354
scala-kmeans,254610605,13012501560,1711104782354
scala-kmeans,264869510,13286756799,1711104782354
scala-kmeans,211985654,13569190851,1711104782354
scala-kmeans,213914392,13798975677,1711104782354
