benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,862003559,507760437,1711104841460
scala-kmeans,718467397,1415040451,1711104841460
scala-kmeans,686389885,2151999531,1711104841460
scala-kmeans,693356485,2857305505,1711104841460
scala-kmeans,704663072,3595092712,1711104841460
scala-kmeans,703812922,4321165309,1711104841460
scala-kmeans,701653279,5066437834,1711104841460
scala-kmeans,716953561,5786152240,1711104841460
scala-kmeans,706461191,6520872861,1711104841460
scala-kmeans,706151691,7245109462,1711104841460
scala-kmeans,709091404,7969366593,1711104841460
scala-kmeans,707287728,8696242191,1711104841460
scala-kmeans,710034028,9421185279,1711104841460
scala-kmeans,705539950,10149059122,1711104841460
scala-kmeans,705560895,10872627446,1711104841460
scala-kmeans,705017005,11596381679,1711104841460
scala-kmeans,699462802,12319100096,1711104841460
scala-kmeans,701743782,13038249708,1711104841460
scala-kmeans,703030895,13757741529,1711104841460
scala-kmeans,700257538,14478837053,1711104841460
scala-kmeans,859068925,15197011126,1711104841460
scala-kmeans,862719005,16074790798,1711104841460
scala-kmeans,860380018,16957177405,1711104841460
scala-kmeans,851839172,17837544659,1711104841460
scala-kmeans,853732688,18709236828,1711104841460
scala-kmeans,717735547,19581029439,1711104841460
scala-kmeans,713293944,20316551741,1711104841460
scala-kmeans,707102885,21048050144,1711104841460
scala-kmeans,705622004,21772905890,1711104841460
scala-kmeans,704801990,22496664884,1711104841460
scala-kmeans,704601668,23219253504,1711104841460
scala-kmeans,780942950,23941855659,1711104841460
scala-kmeans,703455665,24741168903,1711104841460
scala-kmeans,701260215,25462458720,1711104841460
scala-kmeans,864408043,26183068491,1711104841460
scala-kmeans,725114876,27065182493,1711104841460
scala-kmeans,726760228,27808057984,1711104841460
scala-kmeans,714570661,28552765050,1711104841460
scala-kmeans,713657189,29285164635,1711104841460
scala-kmeans,715405156,30017127766,1711104841460
scala-kmeans,723705960,30750249793,1711104841460
scala-kmeans,727009088,31491781905,1711104841460
scala-kmeans,725301791,32237080414,1711104841460
scala-kmeans,714379360,32980314227,1711104841460
scala-kmeans,820106831,33712398764,1711104841460
scala-kmeans,725342927,34550482146,1711104841460
scala-kmeans,724277855,35293600678,1711104841460
scala-kmeans,717691163,36035632491,1711104841460
scala-kmeans,871769592,36771228465,1711104841460
scala-kmeans,871748746,37662621369,1711104841460
