benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,601568215,471711767,1711104892921
scala-kmeans,491913035,1159603419,1711104892921
scala-kmeans,481034764,1670237954,1711104892921
scala-kmeans,377013866,2169876675,1711104892921
scala-kmeans,359665198,2565595190,1711104892921
scala-kmeans,357644712,2992456670,1711104892921
scala-kmeans,346867158,3370751179,1711104892921
scala-kmeans,348005722,3771582930,1711104892921
scala-kmeans,348871629,4137587099,1711104892921
scala-kmeans,333279860,4504398675,1711104892921
scala-kmeans,333491711,4855614550,1711104892921
scala-kmeans,403314832,5235081541,1711104892921
scala-kmeans,400357185,5657654608,1711104892921
scala-kmeans,400570069,6077605649,1711104892921
scala-kmeans,400026770,6497610866,1711104892921
scala-kmeans,333727276,6915796460,1711104892921
scala-kmeans,331259547,7267450890,1711104892921
scala-kmeans,349544779,7616800476,1711104892921
scala-kmeans,362741833,7984203396,1711104892921
scala-kmeans,400520187,8366538723,1711104892921
scala-kmeans,400463366,8786702327,1711104892921
scala-kmeans,366544282,9205753828,1711104892921
scala-kmeans,335724485,9591618767,1711104892921
scala-kmeans,329699619,9945012579,1711104892921
scala-kmeans,329714449,10292728654,1711104892921
scala-kmeans,347146016,10640095765,1711104892921
scala-kmeans,395501575,11006590778,1711104892921
scala-kmeans,363998096,11419990207,1711104892921
scala-kmeans,394796738,11803407834,1711104892921
scala-kmeans,395557337,12217529417,1711104892921
scala-kmeans,394801146,12632663174,1711104892921
scala-kmeans,328607372,13045323081,1711104892921
scala-kmeans,330415930,13392030652,1711104892921
scala-kmeans,329771683,13740284585,1711104892921
scala-kmeans,330128933,14088115891,1711104892921
scala-kmeans,330646443,14435775845,1711104892921
scala-kmeans,330589539,14784009937,1711104892921
scala-kmeans,330559785,15132242338,1711104892921
scala-kmeans,328798377,15480694869,1711104892921
scala-kmeans,326825642,15827666056,1711104892921
scala-kmeans,396158112,16172551002,1711104892921
scala-kmeans,395414602,16587908363,1711104892921
scala-kmeans,395367793,17002654126,1711104892921
scala-kmeans,335957917,17417177491,1711104892921
scala-kmeans,327991036,17771276948,1711104892921
scala-kmeans,329823480,18117235825,1711104892921
scala-kmeans,330953584,18464992236,1711104892921
scala-kmeans,328801010,18814082356,1711104892921
scala-kmeans,330938766,19160850007,1711104892921
scala-kmeans,330129870,19509932477,1711104892921
