benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,510129328,542926600,1711104912818
scala-kmeans,342483247,1110765111,1711104912818
scala-kmeans,316281737,1473140289,1711104912818
scala-kmeans,235238685,1807689066,1711104912818
scala-kmeans,233615922,2062521346,1711104912818
scala-kmeans,234022078,2347165036,1711104912818
scala-kmeans,230116375,2618689256,1711104912818
scala-kmeans,267974246,2868606339,1711104912818
scala-kmeans,267758800,3154712555,1711104912818
scala-kmeans,268914395,3441793011,1711104912818
scala-kmeans,250891487,3730442191,1711104912818
scala-kmeans,267174696,4000597193,1711104912818
scala-kmeans,267182452,4287097678,1711104912818
scala-kmeans,247388511,4573677035,1711104912818
scala-kmeans,221834306,4838885827,1711104912818
scala-kmeans,220934443,5078378775,1711104912818
scala-kmeans,229210369,5317015216,1711104912818
scala-kmeans,240334681,5565026070,1711104912818
scala-kmeans,232959912,5823493286,1711104912818
scala-kmeans,223322219,6073883129,1711104912818
scala-kmeans,221884097,6314852183,1711104912818
scala-kmeans,222889625,6554601766,1711104912818
scala-kmeans,224067220,6795082480,1711104912818
scala-kmeans,222461004,7036664468,1711104912818
scala-kmeans,221504818,7276929981,1711104912818
scala-kmeans,259054876,7515944349,1711104912818
scala-kmeans,238884760,7798811443,1711104912818
scala-kmeans,240748003,8094975362,1711104912818
scala-kmeans,228653713,8353666471,1711104912818
scala-kmeans,209456240,8600049307,1711104912818
scala-kmeans,210539651,8827109401,1711104912818
scala-kmeans,208989296,9055198573,1711104912818
scala-kmeans,209710617,9281791667,1711104912818
scala-kmeans,209134023,9509434551,1711104912818
scala-kmeans,227547286,9736264428,1711104912818
scala-kmeans,251317439,9983107908,1711104912818
scala-kmeans,239641977,10253630133,1711104912818
scala-kmeans,210731181,10510804796,1711104912818
scala-kmeans,209785957,10739114979,1711104912818
scala-kmeans,209673732,10966536812,1711104912818
scala-kmeans,209152703,11193731501,1711104912818
scala-kmeans,229031358,11420369708,1711104912818
scala-kmeans,250086698,11668844388,1711104912818
scala-kmeans,249228223,11936793650,1711104912818
scala-kmeans,212709763,12204055900,1711104912818
scala-kmeans,209308307,12434261503,1711104912818
scala-kmeans,207481780,12661252768,1711104912818
scala-kmeans,213580781,12886472198,1711104912818
scala-kmeans,215496224,13118120702,1711104912818
scala-kmeans,209192524,13351409046,1711104912818
