benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,544327552,589628269,1711104968433
scala-kmeans,405391743,1194109343,1711104968433
scala-kmeans,309008955,1621067325,1711104968433
scala-kmeans,248839114,1948107041,1711104968433
scala-kmeans,246279846,2273475470,1711104968433
scala-kmeans,244711574,2542021869,1711104968433
scala-kmeans,245077680,2850257254,1711104968433
scala-kmeans,242691228,3112994169,1711104968433
scala-kmeans,243185980,3373450034,1711104968433
scala-kmeans,241230644,3634504915,1711104968433
scala-kmeans,237888402,3893935717,1711104968433
scala-kmeans,231074746,4149712542,1711104968433
scala-kmeans,271343506,4398384335,1711104968433
scala-kmeans,276078819,4687574488,1711104968433
scala-kmeans,232962602,4981251708,1711104968433
scala-kmeans,232530383,5231957624,1711104968433
scala-kmeans,264291553,5482235707,1711104968433
scala-kmeans,264796047,5765910377,1711104968433
scala-kmeans,271148583,6049984210,1711104968433
scala-kmeans,233272073,6353639618,1711104968433
scala-kmeans,211051320,6604482352,1711104968433
scala-kmeans,209177840,6833003974,1711104968433
scala-kmeans,210420024,7059626887,1711104968433
scala-kmeans,209483366,7287890803,1711104968433
scala-kmeans,209572341,7515437288,1711104968433
scala-kmeans,209120909,7743266198,1711104968433
scala-kmeans,209697996,7969974705,1711104968433
scala-kmeans,209522637,8197419940,1711104968433
scala-kmeans,212291632,8424644581,1711104968433
scala-kmeans,210747434,8654437043,1711104968433
scala-kmeans,208457680,8882506279,1711104968433
scala-kmeans,210190324,9108580459,1711104968433
scala-kmeans,211623413,9336280144,1711104968433
scala-kmeans,232334324,9565430080,1711104968433
scala-kmeans,249855382,9816673095,1711104968433
scala-kmeans,248850109,10085714935,1711104968433
scala-kmeans,211186231,10351944104,1711104968433
scala-kmeans,225026596,10580586047,1711104968433
scala-kmeans,240346331,10844109455,1711104968433
scala-kmeans,227505701,11105709903,1711104968433
scala-kmeans,251034685,11350884339,1711104968433
scala-kmeans,211006998,11619927353,1711104968433
scala-kmeans,207131073,11851259089,1711104968433
scala-kmeans,205241230,12076054598,1711104968433
scala-kmeans,209541057,12299369623,1711104968433
scala-kmeans,205069016,12526360465,1711104968433
scala-kmeans,206672163,12748951355,1711104968433
scala-kmeans,205255990,12973209478,1711104968433
scala-kmeans,246203868,13197515924,1711104968433
scala-kmeans,204705002,13461670450,1711104968433
