benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,457355021,520703110,1711105009314
scala-kmeans,336968904,1025063425,1711105009314
scala-kmeans,337015256,1380760672,1711105009314
scala-kmeans,247480414,1736063385,1711105009314
scala-kmeans,233584630,2034186414,1711105009314
scala-kmeans,232853323,2288178960,1711105009314
scala-kmeans,232949087,2562240196,1711105009314
scala-kmeans,232561580,2813179209,1711105009314
scala-kmeans,232162981,3063463777,1711105009314
scala-kmeans,232239197,3313424501,1711105009314
scala-kmeans,254840606,3563286121,1711105009314
scala-kmeans,221497573,3835913899,1711105009314
scala-kmeans,221879322,4075447864,1711105009314
scala-kmeans,221382283,4314999748,1711105009314
scala-kmeans,221649227,4554184384,1711105009314
scala-kmeans,222123231,4793780917,1711105009314
scala-kmeans,222081605,5033481685,1711105009314
scala-kmeans,224751471,5273540708,1711105009314
scala-kmeans,242066300,5532280540,1711105009314
scala-kmeans,223297074,5792374903,1711105009314
scala-kmeans,237041285,6033185894,1711105009314
scala-kmeans,236932253,6293819655,1711105009314
scala-kmeans,225234666,6550143302,1711105009314
scala-kmeans,255138735,6793193962,1711105009314
scala-kmeans,240723461,7074215170,1711105009314
scala-kmeans,210998396,7332731766,1711105009314
scala-kmeans,211098622,7561170001,1711105009314
scala-kmeans,212414963,7790060578,1711105009314
scala-kmeans,209791801,8020059173,1711105009314
scala-kmeans,230049720,8248273361,1711105009314
scala-kmeans,250673070,8497548271,1711105009314
scala-kmeans,251131782,8767480417,1711105009314
scala-kmeans,219867678,9038159253,1711105009314
scala-kmeans,210741079,9275624305,1711105009314
scala-kmeans,210016550,9503843960,1711105009314
scala-kmeans,209938861,9731559403,1711105009314
scala-kmeans,211589005,9959088709,1711105009314
scala-kmeans,212758433,10188218321,1711105009314
scala-kmeans,236205692,10418928966,1711105009314
scala-kmeans,252671344,10674849980,1711105009314
scala-kmeans,210617251,10945249361,1711105009314
scala-kmeans,214868186,11173524910,1711105009314
scala-kmeans,210553395,11406069759,1711105009314
scala-kmeans,210017022,11634306653,1711105009314
scala-kmeans,209978825,11862076542,1711105009314
scala-kmeans,209514066,12089672326,1711105009314
scala-kmeans,214695916,12316882430,1711105009314
scala-kmeans,211032549,12549271412,1711105009314
scala-kmeans,211075245,12777801315,1711105009314
scala-kmeans,211448347,13006529563,1711105009314
