benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,456080003,541567975,1711104982153
scala-kmeans,336574403,1058855414,1711104982153
scala-kmeans,277766787,1445265230,1711104982153
scala-kmeans,274700868,1743297782,1711104982153
scala-kmeans,266469373,2038128712,1711104982153
scala-kmeans,245054203,2386467943,1711104982153
scala-kmeans,223407544,2693202735,1711104982153
scala-kmeans,223459089,2960354833,1711104982153
scala-kmeans,223822182,3201690496,1711104982153
scala-kmeans,224596023,3443415357,1711104982153
scala-kmeans,220620216,3685815987,1711104982153
scala-kmeans,218029475,3924200705,1711104982153
scala-kmeans,218855396,4160329672,1711104982153
scala-kmeans,261655955,4396928517,1711104982153
scala-kmeans,262044244,4676833850,1711104982153
scala-kmeans,243133296,4958266831,1711104982153
scala-kmeans,220070517,5219126381,1711104982153
scala-kmeans,224119704,5490708047,1711104982153
scala-kmeans,231502489,5735166044,1711104982153
scala-kmeans,211968893,6003034328,1711104982153
scala-kmeans,215942708,6232811852,1711104982153
scala-kmeans,216734129,6475174923,1711104982153
scala-kmeans,216984778,6711323907,1711104982153
scala-kmeans,253421132,6945876393,1711104982153
scala-kmeans,248201009,7217147927,1711104982153
scala-kmeans,207335592,7483030176,1711104982153
scala-kmeans,208792820,7709625164,1711104982153
scala-kmeans,208194419,7936356543,1711104982153
scala-kmeans,207530540,8162331158,1711104982153
scala-kmeans,209937347,8387491345,1711104982153
scala-kmeans,209054544,8614924326,1711104982153
scala-kmeans,248592423,8843752977,1711104982153
scala-kmeans,212741274,9111572671,1711104982153
scala-kmeans,248489060,9342244542,1711104982153
scala-kmeans,247526846,9610327685,1711104982153
scala-kmeans,248577605,9876486970,1711104982153
scala-kmeans,247684203,10144352667,1711104982153
scala-kmeans,247594308,10411482010,1711104982153
scala-kmeans,248205886,10678536227,1711104982153
scala-kmeans,247213356,10946201204,1711104982153
scala-kmeans,248242999,11212830576,1711104982153
scala-kmeans,248594559,11480538501,1711104982153
scala-kmeans,247171292,11748682035,1711104982153
scala-kmeans,248273583,12015391075,1711104982153
scala-kmeans,246650986,12282986804,1711104982153
scala-kmeans,248910109,12549158074,1711104982153
scala-kmeans,247341918,12817358504,1711104982153
scala-kmeans,247372269,13084086280,1711104982153
scala-kmeans,206873313,13349533222,1711104982153
scala-kmeans,207181905,13574653976,1711104982153
