benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,448429579,498239187,1711105036509
scala-kmeans,337318294,1013218340,1711105036509
scala-kmeans,276683637,1369151871,1711105036509
scala-kmeans,240124989,1664113709,1711105036509
scala-kmeans,240314217,1925293682,1711105036509
scala-kmeans,239761502,2228221743,1711105036509
scala-kmeans,239420542,2516733371,1711105036509
scala-kmeans,239171628,2773958935,1711105036509
scala-kmeans,239289249,3030922167,1711105036509
scala-kmeans,241857009,3288112320,1711105036509
scala-kmeans,239490663,3547503038,1711105036509
scala-kmeans,228790235,3804562847,1711105036509
scala-kmeans,227734291,4051130870,1711105036509
scala-kmeans,228132030,4296382830,1711105036509
scala-kmeans,228840211,4542039341,1711105036509
scala-kmeans,226824108,4788687192,1711105036509
scala-kmeans,227750768,5033126220,1711105036509
scala-kmeans,229544601,5278299075,1711105036509
scala-kmeans,223905439,5526504881,1711105036509
scala-kmeans,221107674,5768498718,1711105036509
scala-kmeans,221974637,6007228605,1711105036509
scala-kmeans,240270400,6254275635,1711105036509
scala-kmeans,210957191,6512023494,1711105036509
scala-kmeans,209818694,6740626160,1711105036509
scala-kmeans,209888641,6968139662,1711105036509
scala-kmeans,211224758,7195678000,1711105036509
scala-kmeans,211964865,7424541535,1711105036509
scala-kmeans,211194925,7654278681,1711105036509
scala-kmeans,212692351,7883019642,1711105036509
scala-kmeans,211842668,8113449761,1711105036509
scala-kmeans,208714373,8342831802,1711105036509
scala-kmeans,211269408,8569278654,1711105036509
scala-kmeans,210582296,8798283082,1711105036509
scala-kmeans,210525853,9026533406,1711105036509
scala-kmeans,229936436,9254673776,1711105036509
scala-kmeans,211648772,9502069654,1711105036509
scala-kmeans,208424818,9731295394,1711105036509
scala-kmeans,210285123,9957299165,1711105036509
scala-kmeans,210121898,10185222317,1711105036509
scala-kmeans,210270593,10413092612,1711105036509
scala-kmeans,209732979,10641449392,1711105036509
scala-kmeans,211107137,10868548666,1711105036509
scala-kmeans,210035647,11097131887,1711105036509
scala-kmeans,209798144,11324677207,1711105036509
scala-kmeans,209946031,11552060050,1711105036509
scala-kmeans,211528821,11780103436,1711105036509
scala-kmeans,209515106,12009142608,1711105036509
scala-kmeans,210138426,12236617961,1711105036509
scala-kmeans,240399619,12465911027,1711105036509
scala-kmeans,222196564,12725535840,1711105036509
