benchmark,duration_ns,uptime_ns,vm_start_unix_ms
scala-kmeans,530381054,543687996,1711105063010
scala-kmeans,307749778,1128359310,1711105063010
scala-kmeans,267679913,1494541787,1711105063010
scala-kmeans,281099363,1782166270,1711105063010
scala-kmeans,271088912,2083269761,1711105063010
scala-kmeans,254589083,2408041125,1711105063010
scala-kmeans,228146574,2703479835,1711105063010
scala-kmeans,226132535,2950102389,1711105063010
scala-kmeans,224972053,3194265037,1711105063010
scala-kmeans,226453929,3437018444,1711105063010
scala-kmeans,225588796,3681429996,1711105063010
scala-kmeans,224088483,3924771822,1711105063010
scala-kmeans,223812711,4166858839,1711105063010
scala-kmeans,222666861,4408137506,1711105063010
scala-kmeans,224486755,4648576251,1711105063010
scala-kmeans,223506855,4890717823,1711105063010
scala-kmeans,223565892,5132109747,1711105063010
scala-kmeans,224765863,5373462434,1711105063010
scala-kmeans,221818390,5616824222,1711105063010
scala-kmeans,218158752,5856135207,1711105063010
scala-kmeans,220197726,6091895092,1711105063010
scala-kmeans,224967508,6329933388,1711105063010
scala-kmeans,219991775,6573925310,1711105063010
scala-kmeans,219000695,6811460064,1711105063010
scala-kmeans,218940647,7048604743,1711105063010
scala-kmeans,220014540,7285003958,1711105063010
scala-kmeans,219671752,7522760326,1711105063010
scala-kmeans,219613995,7760167564,1711105063010
scala-kmeans,218528889,7997284008,1711105063010
scala-kmeans,218088621,8233570939,1711105063010
scala-kmeans,226298634,8471435849,1711105063010
scala-kmeans,217877451,8727214473,1711105063010
scala-kmeans,280035939,8962774440,1711105063010
scala-kmeans,225898165,9262843513,1711105063010
scala-kmeans,217838530,9506357835,1711105063010
scala-kmeans,260674516,9743728210,1711105063010
scala-kmeans,258533321,10023729097,1711105063010
scala-kmeans,217713610,10300283765,1711105063010
scala-kmeans,216932808,10535675606,1711105063010
scala-kmeans,217795661,10770219258,1711105063010
scala-kmeans,215995037,11005854725,1711105063010
scala-kmeans,218794881,11239501780,1711105063010
scala-kmeans,217067248,11475666196,1711105063010
scala-kmeans,216487589,11710283387,1711105063010
scala-kmeans,217730300,11944509263,1711105063010
scala-kmeans,217498951,12179779005,1711105063010
scala-kmeans,216812501,12414763521,1711105063010
scala-kmeans,217817262,12649161685,1711105063010
scala-kmeans,217387509,12884904161,1711105063010
scala-kmeans,218274238,13119910273,1711105063010
